date,opening_price,highest_price,lowest_price,closing_price
2009-01-05,1411.08,1437.06,1402.05,1436.88
2009-01-06,1436.48,1488.34,1430.7,1482.28
2009-01-07,1482.02,1495.65,1468.17,1468.46
2009-01-08,1439.32,1440.11,1420.18,1430.09
2009-01-09,1428.24,1452.37,1428.24,1447.14
2009-01-12,1441.63,1462.31,1433.87,1441.73
2009-01-13,1420.13,1433.25,1412.93,1414.08
2009-01-14,1413.44,1476.71,1413.44,1476.71
2009-01-15,1460.61,1484.92,1452.39,1469.2
2009-01-16,1478.07,1533.96,1478.07,1502.0
2009-01-19,1522.14,1568.64,1517.98,1529.58
2009-01-20,1524.82,1539.96,1508.67,1539.37
2009-01-21,1513.19,1560.91,1510.23,1536.76
2009-01-22,1547.89,1557.8,1525.01,1547.59
2009-01-23,1542.93,1553.61,1530.46,1538.27
2009-02-02,1553.34,1556.6,1529.17,1541.68
2009-02-03,1542.42,1580.71,1538.2,1580.29
2009-02-04,1588.61,1632.24,1587.56,1631.74
2009-02-05,1630.26,1677.87,1617.92,1629.47
2009-02-06,1634.6,1691.49,1634.6,1689.0
2009-02-09,1715.15,1735.62,1696.4,1716.51
2009-02-10,1710.12,1726.44,1683.28,1723.55
2009-02-11,1694.05,1764.02,1682.84,1728.94
2009-02-12,1729.66,1733.43,1661.95,1699.35
2009-02-13,1700.58,1758.61,1688.34,1755.57
2009-02-16,1771.62,1817.55,1768.83,1817.06
2009-02-17,1815.57,1829.47,1762.77,1763.94
2009-02-18,1723.86,1743.6,1672.33,1675.86
2009-02-19,1688.82,1703.1,1651.6,1675.77
2009-02-20,1673.97,1696.1,1651.4,1695.26
2009-02-23,1680.82,1740.78,1654.89,1733.42
2009-02-24,1703.48,1721.36,1635.14,1640.57
2009-02-25,1661.75,1681.48,1596.61,1662.26
2009-02-26,1651.77,1688.22,1593.22,1605.61
2009-02-27,1592.39,1621.11,1580.4,1592.01
2009-03-02,1586.56,1605.54,1553.69,1592.61
2009-03-03,1552.86,1583.25,1544.62,1563.97
2009-03-04,1568.72,1677.84,1568.72,1671.57
2009-03-05,1691.25,1718.57,1658.05,1694.65
2009-03-06,1659.57,1700.85,1656.61,1676.79
2009-03-09,1689.12,1716.36,1619.79,1620.13
2009-03-10,1601.65,1649.13,1594.47,1648.15
2009-03-11,1685.14,1687.62,1629.3,1634.08
2009-03-12,1623.61,1630.5,1590.24,1628.34
2009-03-13,1640.53,1656.56,1622.51,1626.02
2009-03-16,1619.76,1663.0,1604.09,1656.18
2009-03-17,1656.01,1710.53,1651.69,1705.51
2009-03-18,1714.99,1727.51,1701.37,1702.3
2009-03-19,1706.31,1736.69,1697.37,1733.8
2009-03-20,1737.53,1744.62,1705.96,1726.21
2009-03-23,1728.66,1773.92,1723.28,1767.05
2009-03-24,1802.16,1807.41,1768.63,1776.12
2009-03-25,1764.03,1793.92,1746.67,1747.42
2009-03-26,1755.87,1812.21,1744.15,1811.87
2009-03-27,1827.98,1840.14,1812.63,1825.63
2009-03-30,1829.11,1836.1,1807.93,1817.41
2009-03-31,1783.72,1839.07,1772.27,1830.28
2009-04-01,1839.41,1865.48,1833.85,1852.02
2009-04-02,1859.88,1899.23,1859.56,1878.4
2009-04-03,1898.69,1920.77,1877.47,1892.73
2009-04-07,1892.67,1915.6,1869.48,1894.12
2009-04-08,1883.14,1892.41,1816.12,1816.33
2009-04-09,1817.2,1847.99,1803.06,1847.16
2009-04-10,1867.5,1895.57,1858.44,1895.16
2009-04-13,1915.43,1952.04,1911.8,1939.56
2009-04-14,1935.99,1955.89,1928.03,1949.02
2009-04-15,1938.77,1950.77,1905.1,1943.35
2009-04-16,1945.12,1958.75,1907.43,1943.21
2009-04-17,1933.5,1951.66,1908.08,1920.31
2009-04-20,1915.99,1958.33,1913.8,1956.78
2009-04-21,1926.47,1945.93,1903.87,1930.57
2009-04-22,1941.17,1967.27,1867.42,1874.75
2009-04-23,1859.12,1882.71,1850.25,1876.42
2009-04-24,1886.15,1888.1,1857.78,1860.75
2009-04-27,1858.86,1866.14,1815.82,1827.47
2009-04-28,1810.24,1837.48,1805.78,1826.14
2009-04-29,1827.0,1910.45,1822.93,1901.07
2009-04-30,1903.23,1910.03,1884.53,1895.7
2009-05-04,1903.08,1959.82,1900.04,1957.94
2009-05-05,1971.74,1986.59,1952.09,1960.98
